event,phase,epoch,step,loss,lr,val_macro_f1,val_micro_f1,val_f1_weighted,val_accuracy,avg_seq_len,compute_proxy
train_step,clean,1,1,0.726983,5e-06,,,,,127.0,127.0
train_step,clean,1,2,0.698643,1e-05,,,,,133.703125,267.40625
train_step,clean,1,3,0.742934,1.5000000000000002e-05,,,,,114.65625,343.96875
train_step,clean,1,4,0.701647,2e-05,,,,,120.6484375,482.59375
train_step,clean,1,5,0.701099,1.9722222222222224e-05,,,,,120.225,601.125
train_step,clean,1,6,0.695203,1.9444444444444445e-05,,,,,119.61979166666667,717.71875
train_step,clean,1,7,0.671674,1.916666666666667e-05,,,,,118.05357142857143,826.375
train_step,clean,1,8,0.678885,1.888888888888889e-05,,,,,119.640625,957.125
train_step,clean,1,9,0.646564,1.8611111111111114e-05,,,,,120.60416666666667,1085.4375
train_step,clean,1,10,0.654479,1.8333333333333333e-05,,,,,120.634375,1206.34375
train_step,clean,1,11,0.626178,1.8055555555555558e-05,,,,,121.86647727272727,1340.53125
train_step,clean,1,12,0.609998,1.7777777777777777e-05,,,,,123.078125,1476.9375
train_step,clean,1,13,0.620495,1.7500000000000002e-05,,,,,122.38942307692308,1591.0625
train_step,clean,1,14,0.568994,1.7222222222222224e-05,,,,,123.39955357142857,1727.59375
train_step,clean,1,15,0.590996,1.6944444444444446e-05,,,,,123.65208333333334,1854.78125
train_step,clean,1,16,0.577921,1.6666666666666667e-05,,,,,125.140625,2002.25
train_step,clean,1,17,0.52091,1.638888888888889e-05,,,,,124.69117647058823,2119.75
train_step,clean,1,18,0.478714,1.6111111111111115e-05,,,,,125.64930555555556,2261.6875
train_step,clean,1,19,0.431772,1.5833333333333333e-05,,,,,126.72697368421052,2407.8125
train_step,clean,1,20,0.361347,1.555555555555556e-05,,,,,127.3078125,2546.15625
train_step,clean,1,21,0.36885,1.5277777777777777e-05,,,,,126.83779761904762,2663.59375
train_step,clean,1,22,0.319314,1.5000000000000002e-05,,,,,125.9375,2770.625
train_step,clean,1,23,0.220858,1.4722222222222224e-05,,,,,125.98097826086956,2897.5625
train_step,clean,1,24,0.194425,1.4444444444444446e-05,,,,,127.52864583333333,3060.6875
train_step,clean,1,25,0.143289,1.416666666666667e-05,,,,,128.41125,3210.28125
train_step,clean,1,26,0.13582,1.388888888888889e-05,,,,,128.1502403846154,3331.90625
train_step,clean,1,27,0.08184,1.3611111111111113e-05,,,,,128.77777777777777,3477.0
train_step,clean,1,28,0.082647,1.3333333333333333e-05,,,,,129.4765625,3625.34375
train_step,clean,1,29,0.066929,1.3055555555555557e-05,,,,,128.50646551724137,3726.6874999999995
train_step,clean,1,30,0.02924,1.2777777777777777e-05,,,,,128.228125,3846.84375
train_step,clean,1,31,0.046855,1.25e-05,,,,,128.27520161290323,3976.53125
train_step,clean,1,32,0.036724,1.2222222222222224e-05,,,,,128.28515625,4105.125
train_step,clean,1,33,0.017692,1.1944444444444444e-05,,,,,128.43844696969697,4238.46875
train_step,clean,1,34,0.015407,1.1666666666666668e-05,,,,,128.17003676470588,4357.78125
train_step,clean,1,35,0.015621,1.138888888888889e-05,,,,,128.47321428571428,4496.5625
train_step,clean,1,36,0.164321,1.1111111111111113e-05,,,,,128.47916666666666,4625.25
train_step,clean,1,37,0.008429,1.0833333333333334e-05,,,,,128.1858108108108,4742.875
train_step,clean,1,38,0.008165,1.0555555555555557e-05,,,,,128.63868312757202,4888.269958847737
epoch_end,clean,1,38,0.375312,1.0555555555555557e-05,0.9241507862539411,0.9244444444444444,0.9241507862539412,0.9244444444444444,128.63868312757202,4888.269958847737
train_step,clean,2,39,0.173995,1.0277777777777777e-05,,,,,129.01283079390538,5031.50040096231
train_step,clean,2,40,0.182706,1e-05,,,,,128.57075840500391,5142.830336200157
train_step,clean,2,41,0.005041,9.722222222222223e-06,,,,,128.5308924485126,5269.7665903890165
train_step,clean,2,42,0.006872,9.444444444444445e-06,,,,,127.9717051377513,5374.811615785555
train_step,clean,2,43,0.005638,9.166666666666666e-06,,,,,128.41236363636364,5521.731636363636
train_step,clean,2,44,0.006187,8.888888888888888e-06,,,,,128.19331911869224,5640.506041222458
train_step,clean,2,45,0.004879,8.611111111111112e-06,,,,,128.30159833217513,5773.571924947881
train_step,clean,2,46,0.005051,8.333333333333334e-06,,,,,128.5594833446635,5913.736233854521
train_step,clean,2,47,0.004437,8.055555555555557e-06,,,,,128.41716566866268,6035.606786427145
train_step,clean,2,48,0.004024,7.77777777777778e-06,,,,,128.4299674267101,6164.638436482085
train_step,clean,2,49,0.003743,7.500000000000001e-06,,,,,128.25717932354817,6284.60178685386
train_step,clean,2,50,0.172806,7.222222222222223e-06,,,,,128.12695434646653,6406.347717323327
train_step,clean,2,51,0.003443,6.944444444444445e-06,,,,,128.34396076026977,6545.541998773758
train_step,clean,2,52,0.003465,6.666666666666667e-06,,,,,128.3535778713169,6674.3860493084785
train_step,clean,2,53,0.003289,6.3888888888888885e-06,,,,,128.52802359882006,6811.985250737463
train_step,clean,2,54,0.003445,6.111111111111112e-06,,,,,128.95599305153445,6963.62362478286
train_step,clean,2,55,0.00343,5.833333333333334e-06,,,,,129.08698123934053,7099.783968163729
train_step,clean,2,56,0.003139,5.555555555555557e-06,,,,,128.51144611948632,7196.640982691234
train_step,clean,2,57,0.200287,5.2777777777777785e-06,,,,,128.35216675809104,7316.0735052111895
train_step,clean,2,58,0.00283,5e-06,,,,,128.3768194070081,7445.85552560647
train_step,clean,2,59,0.174307,4.722222222222222e-06,,,,,128.2321144674086,7565.694753577107
train_step,clean,2,60,0.003214,4.444444444444444e-06,,,,,127.96977592496091,7678.186555497655
train_step,clean,2,61,0.003186,4.166666666666667e-06,,,,,127.99179907739621,7807.499743721169
train_step,clean,2,62,0.003254,3.88888888888889e-06,,,,,127.94503277861826,7932.592032274332
train_step,clean,2,63,0.003333,3.6111111111111115e-06,,,,,128.36923076923077,8087.261538461538
train_step,clean,2,64,0.003321,3.3333333333333333e-06,,,,,128.53932584269663,8226.516853932584
train_step,clean,2,65,0.003375,3.055555555555556e-06,,,,,128.4997594997595,8352.484367484369
train_step,clean,2,66,0.003601,2.7777777777777783e-06,,,,,129.00284225485552,8514.187588820465
train_step,clean,2,67,0.00619,2.5e-06,,,,,129.1250583294447,8651.378908072795
train_step,clean,2,68,0.003022,2.222222222222222e-06,,,,,128.8648275862069,8762.80827586207
train_step,clean,2,69,0.002916,1.944444444444445e-06,,,,,128.8223833257816,8888.74444947893
train_step,clean,2,70,0.004221,1.6666666666666667e-06,,,,,128.6860205448861,9008.021438142026
train_step,clean,2,71,0.003091,1.3888888888888892e-06,,,,,128.65962131219726,9134.833113166005
train_step,clean,2,72,0.004284,1.111111111111111e-06,,,,,128.44246634824142,9247.857577073382
train_step,clean,2,73,0.003055,8.333333333333333e-07,,,,,128.41413276231265,9374.231691648823
train_step,clean,2,74,0.002897,5.555555555555555e-07,,,,,128.31812420785803,9495.541191381495
train_step,clean,2,75,0.002811,2.7777777777777776e-07,,,,,128.31888286786162,9623.91621508962
train_step,clean,2,76,0.002826,0.0,,,,,128.63868312757202,9776.539917695474
epoch_end,clean,2,76,0.027148,0.0,0.9511072479800873,0.9511111111111111,0.9511072479800873,0.9511111111111111,128.63868312757202,9776.539917695474
train_step,diverse,1,77,0.006302,2.222222222222222e-06,,,,,128.49390739236392,9894.030869212022
train_step,diverse,1,78,0.005267,4.444444444444444e-06,,,,,128.27345629510825,10005.329591018442
train_step,diverse,1,79,0.004275,6.666666666666667e-06,,,,,128.4754552652415,10149.560965954079
train_step,diverse,1,80,0.003861,8.888888888888888e-06,,,,,128.60046911649727,10288.037529319781
train_step,diverse,1,81,0.15829,1.1111111111111113e-05,,,,,128.64749034749036,10420.446718146719
train_step,diverse,1,82,0.360638,1.3333333333333333e-05,,,,,128.97826086956522,10576.217391304348
train_step,diverse,1,83,0.003382,1.555555555555556e-05,,,,,128.78749058025622,10689.361718161266
train_step,diverse,1,84,0.003626,1.7777777777777777e-05,,,,,129.14445271779599,10848.134028294862
train_step,diverse,1,85,0.007825,2e-05,,,,,129.46320824135393,11004.372700515083
train_step,diverse,1,86,0.005639,1.986013986013986e-05,,,,,129.556,11141.816
train_step,diverse,1,87,0.017854,1.9720279720279722e-05,,,,,129.57009345794393,11272.598130841121
train_step,diverse,1,88,0.220698,1.958041958041958e-05,,,,,129.32835820895522,11380.89552238806
train_step,diverse,1,89,0.058142,1.944055944055944e-05,,,,,129.24420238931833,11502.73401264933
train_step,diverse,1,90,0.002738,1.9300699300699302e-05,,,,,129.16574009728978,11624.91660875608
train_step,diverse,1,91,0.177096,1.916083916083916e-05,,,,,129.26151202749142,11762.797594501719
train_step,diverse,1,92,0.003882,1.9020979020979023e-05,,,,,129.2324949014276,11889.38953093134
train_step,diverse,1,93,0.332076,1.888111888111888e-05,,,,,129.24008069939475,12019.327505043711
train_step,diverse,1,94,0.03329,1.8741258741258744e-05,,,,,129.1170991350632,12137.007318695942
train_step,diverse,1,95,0.002627,1.8601398601398602e-05,,,,,128.98880842659645,12253.936800526662
train_step,diverse,1,96,0.364906,1.8461538461538465e-05,,,,,129.0068403908795,12384.656677524432
train_step,diverse,1,97,0.071031,1.8321678321678323e-05,,,,,128.95744680851064,12508.872340425532
train_step,diverse,1,98,0.132781,1.8181818181818182e-05,,,,,128.90044671346521,12632.243777919592
train_step,diverse,1,99,0.204259,1.8041958041958044e-05,,,,,129.09349336702465,12780.25584333544
train_step,diverse,1,100,0.004978,1.7902097902097903e-05,,,,,128.85146966854285,12885.146966854285
train_step,diverse,1,101,0.087559,1.7762237762237765e-05,,,,,128.90835913312694,13019.74427244582
train_step,diverse,1,102,0.250401,1.7622377622377624e-05,,,,,128.94788473329245,13152.68424279583
train_step,diverse,1,103,0.043685,1.7482517482517486e-05,,,,,128.84699453551912,13271.240437158469
train_step,diverse,1,104,0.244796,1.7342657342657345e-05,,,,,128.91130487071558,13406.775706554421
