phase,epoch,step,loss,lr
clean,1,1,1.999776,2e-05
clean,1,2,2.011966,1.894736842105263e-05
clean,1,3,1.983366,1.7894736842105264e-05
clean,1,4,1.949175,1.6842105263157896e-05
clean,1,5,1.892742,1.578947368421053e-05
clean,1,6,1.822897,1.4736842105263159e-05
clean,1,7,1.786046,1.3684210526315791e-05
clean,1,8,1.667735,1.263157894736842e-05
clean,1,9,1.695378,1.1578947368421053e-05
clean,1,10,1.453096,1.0526315789473684e-05
clean,2,11,1.71598,9.473684210526315e-06
clean,2,12,1.624563,8.421052631578948e-06
clean,2,13,1.329556,7.368421052631579e-06
clean,2,14,1.466641,6.31578947368421e-06
clean,2,15,1.410975,5.263157894736842e-06
clean,2,16,1.864021,4.210526315789474e-06
clean,2,17,1.397012,3.157894736842105e-06
clean,2,18,1.352039,2.105263157894737e-06
clean,2,19,1.495378,1.0526315789473685e-06
clean,2,20,0.835477,0.0
diverse,1,21,1.873067,1.1764705882352942e-06
diverse,1,22,1.840228,2.3529411764705885e-06
diverse,1,23,1.714634,3.529411764705883e-06
diverse,1,24,1.972681,4.705882352941177e-06
diverse,1,25,1.635907,5.882352941176471e-06
diverse,1,26,1.346077,7.058823529411766e-06
diverse,1,27,1.899195,8.23529411764706e-06
diverse,1,28,1.51911,9.411764705882354e-06
diverse,1,29,1.278386,1.0588235294117648e-05
diverse,1,30,1.511859,1.1764705882352942e-05
diverse,1,31,1.386383,1.2941176470588238e-05
diverse,1,32,1.175786,1.4117647058823532e-05
diverse,1,33,1.447246,1.5294117647058822e-05
diverse,1,34,1.491275,1.647058823529412e-05
diverse,1,35,1.869335,1.7647058823529414e-05
diverse,1,36,1.549571,1.8823529411764708e-05
diverse,1,37,1.243912,2e-05
diverse,1,38,1.464941,1.992831541218638e-05
diverse,1,39,1.420109,1.9856630824372764e-05
diverse,1,40,1.121373,1.978494623655914e-05
diverse,1,41,1.638572,1.9713261648745522e-05
diverse,1,42,1.451949,1.9641577060931903e-05
diverse,1,43,1.380725,1.956989247311828e-05
diverse,1,44,1.281339,1.9498207885304662e-05
diverse,1,45,1.528665,1.942652329749104e-05
diverse,1,46,1.429419,1.935483870967742e-05
diverse,1,47,1.158025,1.9283154121863802e-05
diverse,1,48,1.574882,1.921146953405018e-05
diverse,1,49,1.481193,1.913978494623656e-05
diverse,1,50,1.267732,1.906810035842294e-05
diverse,1,51,1.419178,1.899641577060932e-05
diverse,1,52,1.74347,1.89247311827957e-05
diverse,1,53,1.513403,1.885304659498208e-05
diverse,1,54,1.190433,1.878136200716846e-05
diverse,1,55,1.371133,1.870967741935484e-05
diverse,1,56,1.503975,1.863799283154122e-05
diverse,1,57,1.316305,1.85663082437276e-05
diverse,1,58,1.513145,1.849462365591398e-05
diverse,1,59,1.676924,1.842293906810036e-05
diverse,1,60,1.381389,1.835125448028674e-05
diverse,1,61,1.361531,1.827956989247312e-05
diverse,1,62,1.79277,1.82078853046595e-05
diverse,1,63,1.45189,1.8136200716845878e-05
diverse,1,64,0.940815,1.806451612903226e-05
diverse,1,65,1.594568,1.799283154121864e-05
diverse,1,66,1.596879,1.792114695340502e-05
diverse,1,67,1.796422,1.78494623655914e-05
diverse,1,68,1.237617,1.7777777777777777e-05
diverse,1,69,1.620868,1.770609318996416e-05
diverse,1,70,1.354289,1.763440860215054e-05
diverse,1,71,1.497637,1.756272401433692e-05
diverse,1,72,1.430965,1.74910394265233e-05
diverse,1,73,1.301738,1.741935483870968e-05
diverse,1,74,1.089828,1.734767025089606e-05
diverse,1,75,1.416851,1.727598566308244e-05
diverse,1,76,1.074428,1.7204301075268818e-05
diverse,1,77,1.628495,1.71326164874552e-05
diverse,1,78,1.418332,1.7060931899641577e-05
diverse,1,79,2.052069,1.6989247311827958e-05
diverse,1,80,1.758023,1.691756272401434e-05
diverse,1,81,1.014356,1.6845878136200717e-05
diverse,1,82,1.57397,1.6774193548387098e-05
diverse,1,83,1.537829,1.670250896057348e-05
diverse,1,84,1.309698,1.6630824372759856e-05
diverse,1,85,1.500064,1.6559139784946237e-05
diverse,1,86,1.465477,1.648745519713262e-05
diverse,1,87,1.363788,1.6415770609318996e-05
diverse,1,88,1.154182,1.6344086021505377e-05
diverse,1,89,1.38186,1.6272401433691758e-05
diverse,1,90,1.549864,1.6200716845878136e-05
diverse,1,91,1.659892,1.6129032258064517e-05
diverse,1,92,1.101406,1.6057347670250898e-05
diverse,1,93,1.425944,1.5985663082437275e-05
diverse,1,94,1.553126,1.5913978494623657e-05
diverse,1,95,1.476643,1.5842293906810038e-05
diverse,1,96,0.971908,1.577060931899642e-05
diverse,1,97,1.299122,1.5698924731182796e-05
diverse,1,98,1.346597,1.5627240143369177e-05
diverse,1,99,1.245716,1.555555555555556e-05
diverse,1,100,1.195784,1.5483870967741936e-05
diverse,1,101,1.556731,1.5412186379928317e-05
diverse,1,102,1.190363,1.5340501792114698e-05
diverse,1,103,1.82838,1.5268817204301076e-05
diverse,1,104,1.068202,1.5197132616487455e-05
diverse,1,105,1.180712,1.5125448028673838e-05
diverse,1,106,1.491395,1.5053763440860215e-05
diverse,1,107,1.525908,1.4982078853046595e-05
diverse,1,108,1.656887,1.4910394265232978e-05
diverse,1,109,1.1119,1.4838709677419357e-05
diverse,1,110,1.210422,1.4767025089605736e-05
diverse,1,111,1.406673,1.4695340501792117e-05
diverse,1,112,1.635118,1.4623655913978497e-05
diverse,1,113,1.716076,1.4551971326164876e-05
diverse,1,114,1.316258,1.4480286738351255e-05
diverse,1,115,1.449897,1.4408602150537636e-05
diverse,1,116,1.49687,1.4336917562724016e-05
diverse,1,117,1.431266,1.4265232974910395e-05
diverse,1,118,1.55677,1.4193548387096776e-05
diverse,1,119,1.584701,1.4121863799283155e-05
diverse,1,120,1.727749,1.4050179211469535e-05
diverse,1,121,1.392903,1.3978494623655916e-05
diverse,1,122,1.255017,1.3906810035842295e-05
diverse,1,123,1.569952,1.3835125448028674e-05
diverse,1,124,1.400074,1.3763440860215056e-05
diverse,1,125,1.438008,1.3691756272401435e-05
diverse,1,126,1.423887,1.3620071684587814e-05
diverse,1,127,1.494709,1.3548387096774194e-05
diverse,1,128,1.073918,1.3476702508960575e-05
diverse,1,129,1.276779,1.3405017921146954e-05
diverse,1,130,1.420068,1.3333333333333333e-05
diverse,1,131,1.462695,1.3261648745519714e-05
diverse,1,132,1.562949,1.3189964157706094e-05
diverse,1,133,1.561228,1.3118279569892473e-05
diverse,1,134,1.631311,1.3046594982078856e-05
diverse,1,135,1.349071,1.2974910394265235e-05
diverse,1,136,1.389322,1.2903225806451613e-05
diverse,1,137,1.167043,1.2831541218637992e-05
diverse,1,138,1.325941,1.2759856630824375e-05
diverse,1,139,1.497078,1.2688172043010754e-05
diverse,1,140,1.465071,1.2616487455197134e-05
diverse,1,141,1.256908,1.2544802867383515e-05
diverse,1,142,1.335189,1.2473118279569894e-05
diverse,1,143,1.491997,1.2401433691756273e-05
diverse,1,144,1.526426,1.2329749103942654e-05
diverse,1,145,1.191773,1.2258064516129034e-05
diverse,1,146,1.027494,1.2186379928315413e-05
diverse,1,147,1.605956,1.2114695340501794e-05
diverse,1,148,1.375085,1.2043010752688173e-05
diverse,1,149,1.133443,1.1971326164874553e-05
diverse,1,150,1.300411,1.1899641577060932e-05
diverse,1,151,1.343395,1.1827956989247313e-05
diverse,1,152,1.378431,1.1756272401433692e-05
diverse,1,153,1.07237,1.1684587813620072e-05
diverse,1,154,1.826633,1.1612903225806453e-05
diverse,1,155,1.427713,1.1541218637992832e-05
diverse,1,156,1.799358,1.1469534050179212e-05
diverse,1,157,1.467462,1.1397849462365593e-05
diverse,1,158,1.390956,1.1326164874551972e-05
diverse,1,159,1.212339,1.1254480286738351e-05
diverse,1,160,1.163618,1.118279569892473e-05
diverse,1,161,1.038442,1.1111111111111113e-05
diverse,1,162,1.381022,1.1039426523297491e-05
diverse,1,163,1.089847,1.096774193548387e-05
diverse,1,164,1.424465,1.0896057347670253e-05
diverse,1,165,1.315038,1.0824372759856632e-05
diverse,1,166,1.17264,1.0752688172043012e-05
diverse,1,167,1.502704,1.0681003584229393e-05
diverse,1,168,1.535444,1.0609318996415772e-05
diverse,2,169,1.365678,1.0537634408602151e-05
diverse,2,170,1.352007,1.0465949820788533e-05
diverse,2,171,1.279031,1.0394265232974912e-05
diverse,2,172,1.485578,1.0322580645161291e-05
diverse,2,173,1.009771,1.025089605734767e-05
diverse,2,174,1.372142,1.0179211469534052e-05
diverse,2,175,1.265759,1.0107526881720431e-05
diverse,2,176,1.454336,1.003584229390681e-05
diverse,2,177,1.3919,9.96415770609319e-06
diverse,2,178,1.421125,9.89247311827957e-06
diverse,2,179,1.170973,9.820788530465952e-06
diverse,2,180,1.353032,9.749103942652331e-06
diverse,2,181,1.249372,9.67741935483871e-06
diverse,2,182,1.521557,9.60573476702509e-06
diverse,2,183,1.090775,9.53405017921147e-06
diverse,2,184,1.087074,9.46236559139785e-06
diverse,2,185,1.319349,9.39068100358423e-06
diverse,2,186,1.48748,9.31899641577061e-06
diverse,2,187,1.533134,9.24731182795699e-06
diverse,2,188,1.433646,9.17562724014337e-06
diverse,2,189,1.5091,9.10394265232975e-06
diverse,2,190,1.28924,9.03225806451613e-06
diverse,2,191,1.242498,8.96057347670251e-06
diverse,2,192,1.038221,8.888888888888888e-06
diverse,2,193,1.667808,8.81720430107527e-06
diverse,2,194,1.365752,8.74551971326165e-06
diverse,2,195,1.64569,8.67383512544803e-06
diverse,2,196,1.30738,8.602150537634409e-06
diverse,2,197,1.359787,8.530465949820788e-06
diverse,2,198,1.671311,8.45878136200717e-06
diverse,2,199,1.337202,8.387096774193549e-06
diverse,2,200,1.628658,8.315412186379928e-06
diverse,2,201,1.876538,8.24372759856631e-06
diverse,2,202,1.384426,8.172043010752689e-06
diverse,2,203,1.512514,8.100358422939068e-06
diverse,2,204,1.581611,8.028673835125449e-06
diverse,2,205,1.006026,7.956989247311828e-06
diverse,2,206,1.271799,7.88530465949821e-06
diverse,2,207,1.381553,7.813620071684589e-06
diverse,2,208,1.364144,7.741935483870968e-06
diverse,2,209,1.454552,7.670250896057349e-06
diverse,2,210,1.162368,7.5985663082437275e-06
diverse,2,211,1.620608,7.526881720430108e-06
diverse,2,212,1.705376,7.455197132616489e-06
diverse,2,213,1.382356,7.383512544802868e-06
diverse,2,214,1.21635,7.311827956989248e-06
diverse,2,215,1.407767,7.240143369175628e-06
diverse,2,216,1.607714,7.168458781362008e-06
diverse,2,217,1.683325,7.096774193548388e-06
diverse,2,218,1.908697,7.025089605734767e-06
diverse,2,219,1.4134,6.9534050179211476e-06
diverse,2,220,1.759687,6.881720430107528e-06
diverse,2,221,1.422815,6.810035842293907e-06
diverse,2,222,1.204778,6.738351254480287e-06
diverse,2,223,1.242132,6.666666666666667e-06
diverse,2,224,1.667264,6.594982078853047e-06
diverse,2,225,1.796531,6.523297491039428e-06
diverse,2,226,1.403825,6.451612903225806e-06
diverse,2,227,1.514353,6.379928315412187e-06
diverse,2,228,1.344539,6.308243727598567e-06
diverse,2,229,1.75358,6.236559139784947e-06
diverse,2,230,1.321906,6.164874551971327e-06
diverse,2,231,1.236065,6.0931899641577065e-06
diverse,2,232,1.269335,6.021505376344087e-06
diverse,2,233,1.326452,5.949820788530466e-06
diverse,2,234,1.456697,5.878136200716846e-06
diverse,2,235,1.294798,5.806451612903226e-06
diverse,2,236,1.147524,5.734767025089606e-06
diverse,2,237,1.387307,5.663082437275986e-06
diverse,2,238,1.229574,5.591397849462365e-06
diverse,2,239,1.31006,5.5197132616487455e-06
diverse,2,240,1.432081,5.4480286738351265e-06
diverse,2,241,1.036626,5.376344086021506e-06
diverse,2,242,1.586309,5.304659498207886e-06
diverse,2,243,1.867823,5.232974910394266e-06
diverse,2,244,1.170115,5.161290322580646e-06
diverse,2,245,1.596234,5.089605734767026e-06
diverse,2,246,1.731985,5.017921146953405e-06
diverse,2,247,1.410995,4.946236559139785e-06
diverse,2,248,1.521525,4.8745519713261655e-06
diverse,2,249,1.115352,4.802867383512545e-06
diverse,2,250,1.688841,4.731182795698925e-06
diverse,2,251,1.407627,4.659498207885305e-06
diverse,2,252,1.301058,4.587813620071685e-06
diverse,2,253,1.189489,4.516129032258065e-06
diverse,2,254,1.585236,4.444444444444444e-06
diverse,2,255,1.169789,4.372759856630825e-06
diverse,2,256,1.379244,4.3010752688172045e-06
diverse,2,257,1.134623,4.229390681003585e-06
diverse,2,258,1.309603,4.157706093189964e-06
diverse,2,259,1.680501,4.086021505376344e-06
diverse,2,260,1.357121,4.0143369175627245e-06
diverse,2,261,1.169874,3.942652329749105e-06
diverse,2,262,1.651026,3.870967741935484e-06
diverse,2,263,1.142856,3.7992831541218638e-06
diverse,2,264,1.396562,3.7275985663082444e-06
diverse,2,265,1.139868,3.655913978494624e-06
diverse,2,266,1.318431,3.584229390681004e-06
diverse,2,267,1.58623,3.5125448028673837e-06
diverse,2,268,1.408225,3.440860215053764e-06
diverse,2,269,1.178877,3.3691756272401437e-06
diverse,2,270,1.106872,3.2974910394265234e-06
diverse,2,271,1.387182,3.225806451612903e-06
diverse,2,272,1.193334,3.1541218637992834e-06
diverse,2,273,1.37936,3.0824372759856636e-06
diverse,2,274,1.301632,3.0107526881720433e-06
diverse,2,275,1.269421,2.939068100358423e-06
diverse,2,276,1.478839,2.867383512544803e-06
diverse,2,277,0.987019,2.7956989247311827e-06
diverse,2,278,1.44841,2.7240143369175633e-06
diverse,2,279,1.348004,2.652329749103943e-06
diverse,2,280,1.323336,2.580645161290323e-06
diverse,2,281,1.747865,2.5089605734767026e-06
diverse,2,282,1.41888,2.4372759856630828e-06
