phase,epoch,step,loss,lr
full,1,1,2.737535,2.702702702702703e-07
full,1,2,2.036918,5.405405405405406e-07
full,1,3,2.659875,8.108108108108109e-07
full,1,4,1.966192,1.0810810810810812e-06
full,1,5,2.962417,1.3513513513513515e-06
full,1,6,2.568263,1.6216216216216219e-06
full,1,7,2.040539,1.8918918918918922e-06
full,1,8,1.559981,2.1621621621621623e-06
full,1,9,1.72265,2.432432432432433e-06
full,1,10,1.889831,2.702702702702703e-06
full,1,11,2.163589,2.9729729729729736e-06
full,1,12,1.487778,3.2432432432432437e-06
full,1,13,1.86252,3.513513513513514e-06
full,1,14,2.48834,3.7837837837837844e-06
full,1,15,2.132578,4.0540540540540545e-06
full,1,16,1.61748,4.324324324324325e-06
full,1,17,2.607415,4.594594594594596e-06
full,1,18,1.948601,4.864864864864866e-06
full,1,19,2.232355,5.135135135135135e-06
full,1,20,1.814147,5.405405405405406e-06
full,1,21,1.660364,5.675675675675676e-06
full,1,22,2.383907,5.945945945945947e-06
full,1,23,1.384058,6.2162162162162164e-06
full,1,24,2.113691,6.486486486486487e-06
full,1,25,2.366587,6.7567567567567575e-06
full,1,26,1.626851,7.027027027027028e-06
full,1,27,1.815492,7.297297297297298e-06
full,1,28,1.348639,7.567567567567569e-06
full,1,29,1.912348,7.837837837837838e-06
full,1,30,1.475268,8.108108108108109e-06
full,1,31,1.178505,8.378378378378378e-06
full,1,32,1.436181,8.64864864864865e-06
full,1,33,1.913821,8.91891891891892e-06
full,1,34,2.143782,9.189189189189191e-06
full,1,35,1.483177,9.45945945945946e-06
full,1,36,2.227498,9.729729729729732e-06
full,1,37,1.819739,1e-05
full,1,38,2.126928,1.027027027027027e-05
full,1,39,2.57094,1.0540540540540541e-05
full,1,40,1.883394,1.0810810810810812e-05
full,1,41,2.274005,1.1081081081081081e-05
full,1,42,2.635627,1.1351351351351352e-05
full,1,43,3.216832,1.1621621621621622e-05
full,1,44,2.064044,1.1891891891891894e-05
full,1,45,1.935794,1.2162162162162164e-05
full,1,46,1.408847,1.2432432432432433e-05
full,1,47,2.49379,1.2702702702702702e-05
full,1,48,2.312369,1.2972972972972975e-05
full,1,49,2.370532,1.3243243243243244e-05
full,1,50,1.427584,1.3513513513513515e-05
full,1,51,1.96979,1.3783783783783784e-05
full,1,52,2.017917,1.4054054054054055e-05
full,1,53,1.927912,1.4324324324324326e-05
