phase,epoch,step,loss,lr
clean,1,1,1.976282,2e-05
clean,1,2,1.894708,1.866666666666667e-05
clean,1,3,1.941483,1.7333333333333336e-05
clean,1,4,1.915962,1.6000000000000003e-05
clean,1,5,1.908259,1.4666666666666666e-05
clean,1,6,1.876585,1.3333333333333333e-05
clean,1,7,1.882962,1.2e-05
clean,1,8,1.774939,1.0666666666666667e-05
clean,2,9,1.67513,9.333333333333334e-06
clean,2,10,1.645181,8.000000000000001e-06
clean,2,11,1.738129,6.666666666666667e-06
clean,2,12,1.797581,5.333333333333334e-06
clean,2,13,1.717119,4.000000000000001e-06
clean,2,14,1.639538,2.666666666666667e-06
clean,2,15,1.419232,1.3333333333333334e-06
clean,2,16,1.642496,0.0
diverse,1,17,1.799136,1.8181818181818183e-06
diverse,1,18,1.586975,3.6363636363636366e-06
diverse,1,19,1.661822,5.4545454545454545e-06
diverse,1,20,1.67888,7.272727272727273e-06
diverse,1,21,1.767789,9.090909090909091e-06
diverse,1,22,1.529437,1.0909090909090909e-05
diverse,1,23,1.458634,1.2727272727272728e-05
diverse,1,24,1.358828,1.4545454545454546e-05
diverse,1,25,1.877745,1.6363636363636366e-05
diverse,1,26,1.741917,1.8181818181818182e-05
diverse,1,27,1.4672,2e-05
diverse,1,28,1.644819,1.9893048128342248e-05
diverse,1,29,1.614493,1.9786096256684494e-05
diverse,1,30,1.605165,1.967914438502674e-05
diverse,1,31,1.320477,1.9572192513368987e-05
diverse,1,32,1.618898,1.9465240641711233e-05
diverse,1,33,1.372385,1.9358288770053476e-05
diverse,1,34,1.28646,1.9251336898395722e-05
diverse,1,35,1.49322,1.9144385026737972e-05
diverse,1,36,1.259502,1.9037433155080215e-05
diverse,1,37,1.319915,1.893048128342246e-05
diverse,1,38,1.521563,1.8823529411764708e-05
diverse,1,39,1.589994,1.8716577540106954e-05
diverse,1,40,1.464596,1.86096256684492e-05
diverse,1,41,1.379362,1.8502673796791447e-05
diverse,1,42,1.687932,1.8395721925133693e-05
diverse,1,43,1.620115,1.8288770053475936e-05
diverse,1,44,1.521486,1.8181818181818182e-05
diverse,1,45,1.808026,1.807486631016043e-05
diverse,1,46,1.684241,1.7967914438502675e-05
diverse,1,47,1.457921,1.786096256684492e-05
diverse,1,48,1.603776,1.7754010695187167e-05
diverse,1,49,1.332771,1.7647058823529414e-05
diverse,1,50,1.33732,1.754010695187166e-05
diverse,1,51,1.375204,1.7433155080213906e-05
diverse,1,52,1.327695,1.7326203208556153e-05
diverse,1,53,1.418153,1.7219251336898395e-05
diverse,1,54,1.542573,1.7112299465240642e-05
diverse,1,55,1.252541,1.7005347593582888e-05
diverse,1,56,1.306154,1.6898395721925134e-05
diverse,1,57,1.330381,1.679144385026738e-05
diverse,1,58,1.458784,1.6684491978609627e-05
diverse,1,59,1.774801,1.6577540106951873e-05
diverse,1,60,1.371755,1.647058823529412e-05
diverse,1,61,1.407136,1.6363636363636366e-05
diverse,1,62,1.234661,1.6256684491978612e-05
diverse,1,63,1.64843,1.614973262032086e-05
diverse,1,64,1.51102,1.60427807486631e-05
diverse,1,65,1.277214,1.5935828877005348e-05
diverse,1,66,1.526447,1.5828877005347597e-05
diverse,1,67,1.73111,1.572192513368984e-05
diverse,1,68,1.333583,1.5614973262032087e-05
diverse,1,69,1.568935,1.5508021390374333e-05
diverse,1,70,1.47947,1.540106951871658e-05
diverse,1,71,1.422723,1.5294117647058822e-05
diverse,1,72,1.413964,1.5187165775401072e-05
diverse,1,73,1.44846,1.5080213903743316e-05
diverse,1,74,1.550609,1.4973262032085563e-05
diverse,1,75,1.657919,1.4866310160427807e-05
diverse,1,76,1.35388,1.4759358288770054e-05
diverse,1,77,1.536686,1.4652406417112302e-05
diverse,1,78,1.72525,1.4545454545454546e-05
diverse,1,79,1.36995,1.4438502673796793e-05
diverse,1,80,1.236818,1.4331550802139039e-05
diverse,1,81,1.49507,1.4224598930481284e-05
diverse,1,82,1.219345,1.4117647058823532e-05
diverse,1,83,1.345714,1.4010695187165778e-05
diverse,1,84,1.725568,1.3903743315508022e-05
diverse,1,85,1.55895,1.3796791443850269e-05
diverse,1,86,1.612067,1.3689839572192513e-05
diverse,1,87,1.717735,1.3582887700534761e-05
diverse,1,88,1.336437,1.3475935828877008e-05
diverse,1,89,1.398064,1.3368983957219252e-05
diverse,1,90,1.123553,1.3262032085561499e-05
diverse,1,91,1.605016,1.3155080213903743e-05
diverse,1,92,1.139954,1.3048128342245991e-05
diverse,1,93,1.72484,1.2941176470588238e-05
diverse,1,94,1.426196,1.2834224598930482e-05
diverse,1,95,1.699074,1.2727272727272728e-05
diverse,1,96,1.674147,1.2620320855614973e-05
diverse,1,97,1.509541,1.251336898395722e-05
diverse,1,98,1.632428,1.2406417112299467e-05
diverse,1,99,1.522531,1.2299465240641712e-05
diverse,1,100,1.522715,1.2192513368983958e-05
diverse,1,101,1.525921,1.2085561497326203e-05
diverse,1,102,1.406287,1.197860962566845e-05
diverse,1,103,1.709134,1.1871657754010697e-05
