phase,epoch,step,loss,lr
full,1,1,3.853921,1.342281879194631e-07
full,1,2,1.880713,2.684563758389262e-07
full,1,3,3.492804,4.026845637583893e-07
full,1,4,3.064739,5.369127516778524e-07
full,1,5,1.813182,6.711409395973155e-07
full,1,6,3.300762,8.053691275167786e-07
full,1,7,1.255984,9.395973154362417e-07
full,1,8,1.078516,1.0738255033557048e-06
full,1,9,1.44691,1.208053691275168e-06
full,1,10,2.38775,1.342281879194631e-06
full,1,11,1.393905,1.4765100671140942e-06
full,1,12,2.400368,1.6107382550335572e-06
full,1,13,1.658581,1.7449664429530203e-06
full,1,14,1.397013,1.8791946308724835e-06
full,1,15,4.052229,2.013422818791946e-06
full,1,16,1.004567,2.1476510067114096e-06
full,1,17,1.413953,2.2818791946308725e-06
full,1,18,2.279744,2.416107382550336e-06
full,1,19,1.033734,2.5503355704697992e-06
full,1,20,1.997311,2.684563758389262e-06
full,1,21,1.512279,2.8187919463087247e-06
full,1,22,1.926836,2.9530201342281885e-06
full,1,23,2.260522,3.0872483221476514e-06
full,1,24,2.075743,3.2214765100671143e-06
full,1,25,1.222815,3.3557046979865777e-06
full,1,26,2.11808,3.4899328859060407e-06
full,1,27,2.149735,3.6241610738255036e-06
full,1,28,1.481467,3.758389261744967e-06
full,1,29,1.248075,3.8926174496644295e-06
full,1,30,2.070572,4.026845637583892e-06
full,1,31,1.944555,4.161073825503356e-06
full,1,32,1.483887,4.295302013422819e-06
full,1,33,2.925769,4.429530201342283e-06
full,1,34,2.522898,4.563758389261745e-06
full,1,35,1.336687,4.697986577181208e-06
full,1,36,1.100901,4.832214765100672e-06
full,1,37,2.564391,4.966442953020135e-06
full,1,38,1.082246,5.1006711409395985e-06
full,1,39,1.808266,5.234899328859061e-06
full,1,40,2.417074,5.369127516778524e-06
full,1,41,1.753736,5.503355704697987e-06
full,1,42,2.242077,5.637583892617449e-06
full,1,43,1.596095,5.771812080536914e-06
full,1,44,1.464113,5.906040268456377e-06
full,1,45,1.321663,6.04026845637584e-06
full,1,46,1.483696,6.174496644295303e-06
full,1,47,1.163554,6.308724832214766e-06
full,1,48,2.661229,6.442953020134229e-06
